YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1999,6.900000095,613.5999756,24.10000038,0.741999984,0.710000002,48_0117,2,3257
2000,6.900000095,436.6000061,24,0.744000006,0.710000002,48_0117,3,4365
2001,6.900000095,545.9000244,23.70000076,0.748199999,0.710000002,48_0117,4,5499
2002,6.900000095,635.7000122,23.70000076,0.884799987,0.710000002,48_0117,5,6746
2003,6.900000095,850.9000244,23.39999962,1.021399975,0.710000002,48_0117,6,8290
2004,6.900000095,659.5999756,23.60000038,1.048049986,0.710000002,48_0117,7,9497
2005,6.900000095,403.2999878,24.10000038,1.074699998,0.710000002,48_0117,8,10652
2006,6.900000095,576.2999878,24.29999924,1.113450003,0.710000002,48_0117,9,12083
2007,6.900000095,553.7999878,23.29999924,1.152200007,0.710000002,48_0117,10,13778
1997,8.699999809,678,22.79999924,0.8704,0.8704,48_0118,0,1054
1998,8.699999809,626.7000122,24.29999924,0.858600008,0.8704,48_0118,1,2139
1999,8.699999809,613.5999756,24.10000038,0.919599998,0.8704,48_0118,2,3257
2000,8.699999809,436.6000061,24,0.9204,0.8704,48_0118,3,4365
2001,8.699999809,545.9000244,23.70000076,0.842700005,0.8704,48_0118,4,5499
2002,8.699999809,635.7000122,23.70000076,0.997350001,0.8704,48_0118,5,6746
2003,8.699999809,850.9000244,23.39999962,1.151999998,0.8704,48_0118,6,8290
2004,8.699999809,659.5999756,23.60000038,1.170700002,0.8704,48_0118,7,9497
2005,8.699999809,403.2999878,24.10000038,1.189400005,0.8704,48_0118,8,10652
2006,8.699999809,576.2999878,24.29999924,1.237600005,0.8704,48_0118,9,12083
2007,8.699999809,553.7999878,23.29999924,1.285800004,0.8704,48_0118,10,13778
1997,6.400000095,678,22.79999924,0.807600009,0.807600009,48_0119,0,1054
1998,6.400000095,626.7000122,24.29999924,0.851200008,0.807600009,48_0119,1,2139
1999,6.400000095,613.5999756,24.10000038,1.319400001,0.807600009,48_0119,2,3257
2000,6.400000095,436.6000061,24,1.224999976,0.807600009,48_0119,3,4365
2001,6.400000095,545.9000244,23.70000076,1.133199996,0.807600009,48_0119,4,5499
2002,6.400000095,635.7000122,23.70000076,1.067499992,0.807600009,48_0119,5,6746
2003,6.400000095,850.9000244,23.39999962,1.001799989,0.807600009,48_0119,6,8290
2004,6.400000095,659.5999756,23.60000038,1.07924999,0.807600009,48_0119,7,9497
2005,6.400000095,403.2999878,24.10000038,1.156699991,0.807600009,48_0119,8,10652
2006,6.400000095,576.2999878,24.29999924,1.267449999,0.807600009,48_0119,9,12083
2007,6.400000095,553.7999878,23.29999924,1.378200006,0.807600009,48_0119,10,13778
1997,6.300000191,678,22.79999924,0.771200001,0.771200001,48_0120,0,1054
1998,6.300000191,626.7000122,24.29999924,0.846599984,0.771200001,48_0120,1,2139
1999,6.300000191,613.5999756,24.10000038,0.847399998,0.771200001,48_0120,2,3257
2000,6.300000191,436.6000061,24,0.761200011,0.771200001,48_0120,3,4365
2001,6.300000191,545.9000244,23.70000076,1.061800003,0.771200001,48_0120,4,5499
2002,6.300000191,635.7000122,23.70000076,1.079400003,0.771200001,48_0120,5,6746
2003,6.300000191,850.9000244,23.39999962,1.097000003,0.771200001,48_0120,6,8290
2004,6.300000191,659.5999756,23.60000038,1.130399996,0.771200001,48_0120,7,9497
2005,6.300000191,403.2999878,24.10000038,1.163799989,0.771200001,48_0120,8,10652
2006,6.300000191,576.2999878,24.29999924,1.30399999,0.771200001,48_0120,9,12083
2007,6.300000191,553.7999878,23.29999924,1.444199991,0.771200001,48_0120,10,13778
1997,7.800000191,678,22.79999924,0.759599996,0.759599996,48_0121,0,1054
1998,7.800000191,626.7000122,24.29999924,0.884200001,0.759599996,48_0121,1,2139
1999,7.800000191,613.5999756,24.10000038,0.924599993,0.759599996,48_0121,2,3257
2000,7.800000191,436.6000061,24,0.843200004,0.759599996,48_0121,3,4365
2001,7.800000191,545.9000244,23.70000076,1.129799992,0.759599996,48_0121,4,5499
2002,7.800000191,635.7000122,23.70000076,1.06719999,0.759599996,48_0121,5,6746
2003,7.800000191,850.9000244,23.39999962,1.004599988,0.759599996,48_0121,6,8290
2004,7.800000191,659.5999756,23.60000038,1.030099988,0.759599996,48_0121,7,9497
2005,7.800000191,403.2999878,24.10000038,1.055599988,0.759599996,48_0121,8,10652
2006,7.800000191,576.2999878,24.29999924,1.083299989,0.759599996,48_0121,9,12083
2007,7.800000191,553.7999878,23.29999924,1.11099999,0.759599996,48_0121,10,13778
1997,7.400000095,678,22.79999924,0.734200001,0.734200001,48_0122,0,1054
1998,7.400000095,626.7000122,24.29999924,0.802600002,0.734200001,48_0122,1,2139
1999,7.400000095,613.5999756,24.10000038,0.755800009,0.734200001,48_0122,2,3257
2000,7.400000095,436.6000061,24,0.745999992,0.734200001,48_0122,3,4365
2001,7.400000095,545.9000244,23.70000076,0.792399997,0.734200001,48_0122,4,5499
2002,7.400000095,635.7000122,23.70000076,0.886299995,0.734200001,48_0122,5,6746
2003,7.400000095,850.9000244,23.39999962,0.980199993,0.734200001,48_0122,6,8290
2004,7.400000095,659.5999756,23.60000038,1.001449999,0.734200001,48_0122,7,9497
2005,7.400000095,403.2999878,24.10000038,1.022700006,0.734200001,48_0122,8,10652
2006,7.400000095,576.2999878,24.29999924,1.123550001,0.734200001,48_0122,9,12083
2007,7.400000095,553.7999878,23.29999924,1.224399996,0.734200001,48_0122,10,13778
1997,9.300000191,678,22.79999924,0.851199996,0.851199996,48_0123,0,1054
1998,9.300000191,626.7000122,24.29999924,0.883399999,0.851199996,48_0123,1,2139
1999,9.300000191,613.5999756,24.10000038,0.849599993,0.851199996,48_0123,2,3257
2000,9.300000191,436.6000061,24,0.817799997,0.851199996,48_0123,3,4365
2001,9.300000191,545.9000244,23.70000076,0.882100004,0.851199996,48_0123,4,5499
2002,9.300000191,635.7000122,23.70000076,0.927450004,0.851199996,48_0123,5,6746
2003,9.300000191,850.9000244,23.39999962,0.972800004,0.851199996,48_0123,6,8290
2004,9.300000191,659.5999756,23.60000038,0.992150006,0.851199996,48_0123,7,9497
2005,9.300000191,403.2999878,24.10000038,1.011500007,0.851199996,48_0123,8,10652
2006,9.300000191,576.2999878,24.29999924,1.154250005,0.851199996,48_0123,9,12083
2007,9.300000191,553.7999878,23.29999924,1.297000003,0.851199996,48_0123,10,13778
1997,10.30000019,678,22.79999924,0.851399994,0.851399994,48_0124,0,1054
1998,10.30000019,626.7000122,24.29999924,1.054200006,0.851399994,48_0124,1,2139
1999,10.30000019,613.5999756,24.10000038,0.944800007,0.851399994,48_0124,2,3257
2000,10.30000019,436.6000061,24,0.855799997,0.851399994,48_0124,3,4365
2001,10.30000019,545.9000244,23.70000076,0.960599995,0.851399994,48_0124,4,5499
2002,10.30000019,635.7000122,23.70000076,0.898499995,0.851399994,48_0124,5,6746
2003,10.30000019,850.9000244,23.39999962,0.836399996,0.851399994,48_0124,6,8290
2004,10.30000019,659.5999756,23.60000038,0.859599996,0.851399994,48_0124,7,9497
2005,10.30000019,403.2999878,24.10000038,0.882799995,0.851399994,48_0124,8,10652
2006,10.30000019,576.2999878,24.29999924,0.991100007,0.851399994,48_0124,9,12083
2007,10.30000019,553.7999878,23.29999924,1.09940002,0.851399994,48_0124,10,13778
1997,6.400000095,678,22.79999924,0.836000001,0.836000001,48_0160,0,1054
1998,6.400000095,626.7000122,24.29999924,1.057400012,0.836000001,48_0160,1,2139
1999,6.400000095,613.5999756,24.10000038,0.773799992,0.836000001,48_0160,2,3257
2000,6.400000095,436.6000061,24,0.738800013,0.836000001,48_0160,3,4365
2001,6.400000095,545.9000244,23.70000076,0.850300002,0.836000001,48_0160,4,5499
2002,6.400000095,635.7000122,23.70000076,0.980449998,0.836000001,48_0160,5,6746
2003,6.400000095,850.9000244,23.39999962,1.110599995,0.836000001,48_0160,6,8290
2004,6.400000095,659.5999756,23.60000038,1.129999983,0.836000001,48_0160,7,9497
2005,6.400000095,403.2999878,24.10000038,1.149399972,0.836000001,48_0160,8,10652
2006,6.400000095,576.2999878,24.29999924,1.185199976,0.836000001,48_0160,9,12083
2007,6.400000095,553.7999878,23.29999924,1.22099998,0.836000001,48_0160,10,13778
1997,5.699999809,678,22.79999924,1.103399992,1.103399992,48_0161,0,1054
1998,5.699999809,626.7000122,24.29999924,1.278800011,1.103399992,48_0161,1,2139
1999,5.699999809,613.5999756,24.10000038,0.996000016,1.103399992,48_0161,2,3257
2000,5.699999809,436.6000061,24,0.961799991,1.103399992,48_0161,3,4365
2001,5.699999809,545.9000244,23.70000076,1.027900004,1.103399992,48_0161,4,5499
2002,5.699999809,635.7000122,23.70000076,1.131050003,1.103399992,48_0161,5,6746
2003,5.699999809,850.9000244,23.39999962,1.234200001,1.103399992,48_0161,6,8290
2004,5.699999809,659.5999756,23.60000038,1.208799994,1.103399992,48_0161,7,9497
2005,5.699999809,403.2999878,24.10000038,1.183399987,1.103399992,48_0161,8,10652
2006,5.699999809,576.2999878,24.29999924,1.238199997,1.103399992,48_0161,9,12083
2007,5.699999809,553.7999878,23.29999924,1.293000007,1.103399992,48_0161,10,13778
1997,5.599999905,678,22.79999924,0.784800005,0.784800005,48_0162,0,1054
1998,5.599999905,626.7000122,24.29999924,1.003999996,0.784800005,48_0162,1,2139
1999,5.599999905,613.5999756,24.10000038,0.83499999,0.784800005,48_0162,2,3257
2000,5.599999905,436.6000061,24,0.829999995,0.784800005,48_0162,3,4365
2001,5.599999905,545.9000244,23.70000076,1.071700001,0.784800005,48_0162,4,5499
2002,5.599999905,635.7000122,23.70000076,1.02105,0.784800005,48_0162,5,6746
2003,5.599999905,850.9000244,23.39999962,0.9704,0.784800005,48_0162,6,8290
2004,5.599999905,659.5999756,23.60000038,0.994200003,0.784800005,48_0162,7,9497
2005,5.599999905,403.2999878,24.10000038,1.018000007,0.784800005,48_0162,8,10652
2006,5.599999905,576.2999878,24.29999924,1.034299994,0.784800005,48_0162,9,12083
2007,5.599999905,553.7999878,23.29999924,1.05059998,0.784800005,48_0162,10,13778
1997,6,678,22.79999924,0.920200014,0.920200014,48_0163,0,1054
1998,6,626.7000122,24.29999924,1.099600005,0.920200014,48_0163,1,2139
1999,6,613.5999756,24.10000038,1.266999984,0.920200014,48_0163,2,3257
2000,6,436.6000061,24,1.221199989,0.920200014,48_0163,3,4365
2001,6,545.9000244,23.70000076,1.128299999,0.920200014,48_0163,4,5499
2002,6,635.7000122,23.70000076,1.108749986,0.920200014,48_0163,5,6746
2003,6,850.9000244,23.39999962,1.089199972,0.920200014,48_0163,6,8290
2004,6,659.5999756,23.60000038,1.10769999,0.920200014,48_0163,7,9497
2005,6,403.2999878,24.10000038,1.126200008,0.920200014,48_0163,8,10652
2006,6,576.2999878,24.29999924,1.165200007,0.920200014,48_0163,9,12083
2007,6,553.7999878,23.29999924,1.204200006,0.920200014,48_0163,10,13778
1997,4.800000191,678,22.79999924,0.850999987,0.850999987,48_0164,0,1054
1998,4.800000191,626.7000122,24.29999924,0.905199993,0.850999987,48_0164,1,2139
1999,4.800000191,613.5999756,24.10000038,0.757400012,0.850999987,48_0164,2,3257
2000,4.800000191,436.6000061,24,0.750800002,0.850999987,48_0164,3,4365
2001,4.800000191,545.9000244,23.70000076,0.857999998,0.850999987,48_0164,4,5499
2002,4.800000191,635.7000122,23.70000076,0.856900004,0.850999987,48_0164,5,6746
